family,module,quantity,mfr_part,proposed_by_claude,lcsc,type,package,stock,in_stock,price,description
ESP32-S3-MINI,MCU,1,ESP32-S3-MINI-1-N8,True,C2913206,Extended,SMD,6353,True,3.6477,-40C~+85C -98.2dBm 2.4GHz 20.5dBm 355mA 3V~3.6V 97mA Bluetooth5.0 ESP32-S3FN8 Chip On-board PCB Antenna UART SMD WiFi Modules ROHS
ESP32-S3-MINI,MCU,1,ESP32-S3-MINI-1-N4R2,False,C3013941,Extended,SMD,2467,True,4.4511,On-board PCB Antenna SMD WiFi Modules ROHS
ESP32-S3-MINI,MCU,1,ESP32-S3-MINI-1U-N8,False,C2980299,Extended,VFQFN-56-EP,2204,True,4.0692,-40C~+85C -98.2dBm 2.4GHz 21dBm 355mA 3V~3.6V 95mA Bluetooth5.0 ESP32-S3 UART VFQFN-56-EP WiFi Modules ROHS
ESP32-S3-MINI,MCU,1,ESP32-S3-MINI-1,False,C9900015247,Extended,ESP32-S3-MINI-1,0,False,0.002,ESP32-S3-MINI-1 SMT ROHS
ESP32-S3-MINI,MCU,1,ESP32-S3-MINI-1U-N4R2,False,C9900091526,Extended,module,0,False,0.0191,module New Arrivals ROHS
ESP32-S3-MINI,MCU,1,ESP32-S3-MINI-1U-N4R2,False,C22356044,Extended,"SMD,15.4x15.4mm",0,False,4.5987,"-40C~+85C -98.2dBm 2.4GHz 20.5dBm 355mA 3V~3.6V 95mA ESP32-S3FH4R2 UART SMD,15.4x15.4mm WiFi Modules ROHS"
ESP32-S3-MINI,MCU,1,ESP32-S3-MINI-1U-4NR2,False,C9900113988,Extended,LGA-73,0,False,0.0191,LGA-73 New Arrivals ROHS
SI4735,RADIO,1,SI4735-D60-GU,True,CONSIGNMENT,Extended,SSOP-24-150mil,0,False,10.5122,-20C~+85C 2.7V~5.5V 64MHz~108MHz Receivers SPI SSOP-24-150mil RF Transceiver ICs ROHS
SI4735,RADIO,1,SI4735-D60-GM,False,C5363643,Extended,QFN-20-EP(3x3),0,False,0.0191,QFN-20-EP(3x3) Abolished Device ROHS
SI4735,RADIO,1,SI4735-D60-GU,False,C20606508,Extended,SSOP-24-150mil,0,False,0.0191,SSOP-24-150mil Abolished Device ROHS
SI4735,RADIO,1,SI4735-D60-GMR,False,C2155662,Extended,QFN-20-EP(3x3),0,False,2.3253,QFN-20-EP(3x3) RF Transceiver ICs ROHS
SI4735,RADIO,1,SI4735-D60-GUR,False,C17686189,Extended,SSOP-24-150mil,0,False,7.8918,-20C~+85C 2V~5.5V 3-Wire SSOP-24-150mil Interface - Specialized ROHS
PAM8908,AMP,1,PAM8908JER,True,C33233,Extended,QFN-16-EP(3x3),291,True,0.2248,-40C~+85C 0.03% 100dB 2 Pairs Differential Inputs 2-Channel 2.5V~5.5V 35mWx2@16Ohm 4mA 75dB Class AB Differential QFN-16-EP(3x3) Audio Amplifiers ROHS
PAM8908,AMP,1,D-PAM8908JER,False,C5148575,Extended,QFN-16,0,False,1.6679,QFN-16 Audio Amplifiers ROHS
TP4056,CHARGER,1,TP4056-42-ESOP8,True,C16581,Preferred,ESOP-8,54957,True,0.1375,-40C~+85C 1 1A 2uA 4.2V 4V~8V Charging IC Lithium Battery Support ESOP-8 Battery Management ROHS
TP4056,CHARGER,1,TP4056,False,C725790,Extended,ESOP-8,299691,True,0.0513,-40C~+85C 1 1A 3.7V~6.5V 35uA 4.2V Support Support ESOP-8 Battery Management ROHS
TP4056,CHARGER,1,TP4056-MS,False,C7473158,Extended,SOP-8-EP,73665,True,0.0472,-40C~+85C 1 1A 4.2V 4.2V~9V 70uA Charging IC Support SOP-8-EP Battery Management ROHS
TP4056,CHARGER,1,TP4056,False,C382139,Extended,ESOP-8,60389,True,0.0705,-40C~+85C 1 1A 1uA 4.2V 4V~6V Charging IC Lithium Battery Support ESOP-8 Battery Management ROHS
TP4056,CHARGER,1,TP4056,False,C21713961,Extended,ESOP-8,36243,True,0.0363,-40C~+85C 1 1A 4.2V 40uA 4V~6.5V Charging IC Lithium Battery Not Supported Not Supported ESOP-8 Battery Management ROHS
TP4056,CHARGER,1,TP4056,False,C5311018,Extended,ESOP-8,25131,True,0.0661,-40C~+85C 1 1A 35uA 4.2V 4V~6.5V Charging IC Support Support ESOP-8 Battery Management ROHS
TP4056,CHARGER,1,TP4056,False,C22470410,Extended,ESOP-8,23760,True,0.0395,-40C~+85C 1 1A 1uA 4.2V 4.5V~5.5V Not Supported Support ESOP-8 Battery Management ROHS
TP4056,CHARGER,1,TP4056H-TD,False,C49023496,Extended,ESOP-8,7371,True,0.0579,-40C~+105C 1 1.2A 100uA 4.2V 4.5V~5.5V Charging IC Lithium Battery Support Support ESOP-8 Battery Management ROHS
TP4056,CHARGER,1,TP4056,False,C42422118,Extended,ESOP-8,6566,True,0.0341,-25C~+125C 1 1A 4.2V 4.5V~6V 55uA Charging IC Lithium Battery Support ESOP-8 Battery Management ROHS
TP4056,CHARGER,1,TP4056-42-EMSOP8,False,C21417,Extended,MSOP-8-EP,4820,True,0.1635,-40C~+85C 1 1A 2uA 4.2V 4V~8V Charging IC Lithium Battery Support MSOP-8-EP Battery Management ROHS
TP4056,CHARGER,1,TP4056EDTR(XBLW),False,C22451416,Extended,ESOP-8,4691,True,0.0294,-20C~+85C 1 1A 4.2V 4.5V~6V 55uA Charging IC Lithium Battery Support ESOP-8 Battery Management ROHS
TP4056,CHARGER,1,TP4056HNS,False,C53055870,Extended,ESOP-8,3990,True,0.0326,ESOP-8 Battery Management ROHS
TP4056,CHARGER,1,TP4056X-42-ESOP8,False,C2763448,Extended,SOP-8-EP,3356,True,0.1556,-40C~+85C 1 1A 4.2V 4V~8V 70uA Charging IC Lithium Battery Not supported Support SOP-8-EP Battery Management ROHS
TP4056,CHARGER,1,TP4056NS,False,C51927325,Extended,ESOP-8,1840,True,0.0233,ESOP-8 Battery Management ROHS
TP4056,CHARGER,1,TP4056,False,C20199357,Extended,ESOP-8,170,True,0.0355,-300mV~8V -40C~+85C 1 100uA 1A 4.2V Charging IC Support ESOP-8 Battery Management ROHS
TP4056,CHARGER,1,HTP4056,False,C25503847,Extended,ESOP-8,2,True,0.0442,-40C~+85C 1 1.2A 4.2V 4.5V~8V 55uA Support Support ESOP-8 Battery Management ROHS
TP4056,CHARGER,1,TP4056,False,C9900002169,Extended,TP4056,0,False,0.0002,TP4056 SMT ROHS
TP4056,CHARGER,1,TP4056,False,C9900006636,Extended,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,0,False,0.0002,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP SMT ROHS
TP4056,CHARGER,1,TP4056,False,C17702041,Extended,ESOP-8,0,False,0.0513,-40C~+85C 1 1A 4.2V 4V~8V 55uA Support Support ESOP-8 Battery Management ROHS
TP4056,CHARGER,1,TP4056,False,C49045948,Extended,ESOP-8L,0,False,0.0621,-40C~+85C 1 1.2A 4.2V 45uA 4V~6V Charging IC Lithium Battery Support Support ESOP-8L Battery Management ROHS
TP4056,CHARGER,1,TP4056X,False,C191323,Extended,SOP-8-EP,0,False,0.1831,-40C~+85C 1 4.2V 4V~8V SOP-8-EP Battery Management ROHS
TP4056,CHARGER,1,TP4056D,False,C9900006240,Extended,ESOP-8_150MIL,0,False,0.0002,ESOP-8_150MIL SMT ROHS
TP4056,CHARGER,1,TP4056E,False,C9900023532,Extended,ESOP8,0,False,0.0191,ESOP8 SMT ROHS
TP4056,CHARGER,1,TP4056E,False,C9900041041,Extended,SO-8,0,False,0.0191,SO-8 New Arrivals ROHS
TP4056,CHARGER,1,MSTP4056H,False,C49208531,Extended,ESOP-8,0,False,0.0658,1 1A 4.2V 80uA Charging IC Lithium Battery Not supported Support ESOP-8 Battery Management ROHS
TP4056,CHARGER,1,TP4056 (LX),False,C49246856,Extended,ESOP-8,0,False,0.0245,-40C~+85C 1 1A 4.2V 4.5V~5.5V 70uA Charging IC Lithium Battery Support ESOP-8 Battery Management ROHS
TP4056,CHARGER,1,TP4056 ESOP8,False,C9900238799,Extended,ESOP-8,0,False,0.0191,ESOP-8 SMT ROHS
TP4056,CHARGER,1,TP4056/LN2053,False,C9900144955,Extended,ESOP-8,0,False,0.0191,ESOP-8 New Arrivals ROHS
TP4056,CHARGER,1,MSTP4056H(2x2),False,C49208530,Extended,DFN-8(2x2),0,False,0.0847,1 1A 4.2V 5V 65uA Charging IC Lithium Battery Support DFN-8(2x2) Battery Management ROHS
TP4056,CHARGER,1,TP4056充电源模块板（Type-C）,False,C9900049108,Extended,Plugin,0,False,0.0191,Plugin New Arrivals ROHS
ME6211,LDO,1,ME6211C33M5G-N,True,C82942,Extended,SOT-23-5,192509,True,0.0366,"-40C~+150C 1 120mV@(100mA) 3.3V 500mA 50uVrms 60uA 6V 70dB@(1kHz) Fixed Over Current Protection Positive SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS"
ME6211,LDO,1,ME6211A33M3G-N,False,C168807,Extended,SOT-23-3,11439,True,0.0434,"-40C~+150C 1 120mV@(100mA) 3.3V 500mA 50uVrms 60uA 6V 70dB@(1kHz) Fixed Over Current Protection Positive SOT-23-3 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS"
ME6211,LDO,1,ME6211C30M5G-N,False,C403651,Extended,SOT-23-5,7917,True,0.0393,"-40C~+85C@(Ta) 1 100mV@(100mA) 30uA 3V 500mA 50uVrms 6V 70dB@(1kHz) Fixed Over Current Protection Positive SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS"
ME6211,LDO,1,ME6211A33PG-N,False,C236673,Extended,SOT-89,7696,True,0.0481,"-40C~+150C@(Ta) 1 120mV@(100mA) 3.3V 30uA 500mA 50uVrms 6V 70dB@(1kHz) Fixed Over Current Protection Positive SOT-89 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS"
ME6211,LDO,1,ME6211C33U4AG-N,False,C428904,Extended,X2-SON-4-EP(1x1),6721,True,0.0326,"-40C~+85C@(Ta) 1 260mV@(200mA) 3.3V 30uA 500mA 50uVrms 6V 70dB@(1kHz) Fixed Over Current Protection Positive X2-SON-4-EP(1x1) Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS"
ME6211,LDO,1,ME6211A12M3G-N,False,C236678,Extended,SOT-23,5226,True,0.0424,"-40C~+150C 1 1.2V 300mA 30uA 500mV@(200mA) 50uVrms 6V 70dB@(1kHz) Fixed Over Current Protection Positive SOT-23 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS"
ME6211,LDO,1,ME6211C15M5G-N,False,C53100,Extended,SOT-23-5,4802,True,0.0367,"-40C~+85C 1 1.5V 300mA 6V 70dB@(1kHz) Enable Fixed Positive SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS"
ME6211,LDO,1,ME6211C25M5G-N,False,C194395,Extended,SOT-23-5,4516,True,0.0376,"-40C~+150C 1 2.5V 220mV@(200mA) 30uA 400mA 50uVrms 62dB@(10kHz) 6V Enable Fixed Positive SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS"
ME6211,LDO,1,ME6211C30M5G,False,C94042,Extended,SOT-23-5,4455,True,0.0408,"-40C~+150C 1 100mV@(100mA) 30uA 3V 500mA 50uVrms 6V 70dB@(1kHz) Fixed Over Current Protection Positive SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS"
ME6211,LDO,1,ME6211C12M5G-N,False,C236672,Extended,SOT-23-5,3803,True,0.0401,"-40C~+150C 1 1.2V 280mV@(100mA) 300mA 30uA 50uVrms 6V 70dB@(1kHz) Fixed Over Current Protection Positive SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS"
ME6211,LDO,1,ME6211C28R5G,False,C427595,Extended,SOT-353,2785,True,0.0594,"-40C~+150C@(Ta) 1 2.8V 220mV@(200mA) 30uA 450mA 50uVrms 6V 70dB@(1kHz) Fixed Over Current Protection Positive SOT-353 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS"
ME6211,LDO,1,ME6211C15U4AG-N,False,C427593,Extended,FBP-4L-EP(1x1),2610,True,0.0332,"-40C~+150C 1 1.5V 300mA 50uVrms 6V 70dB@(1kHz) Fixed Over Current Protection Positive FBP-4L-EP(1x1) Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS"
ME6211,LDO,1,ME6211A28M3G-N,False,C236676,Extended,SOT-23,2269,True,0.0398,"-40C~+150C@(Ta) 1 2.8V 220mV@(200mA) 30uA 500mA 50uVrms 6V 70dB@(1kHz) Fixed Over Current Protection Positive SOT-23 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS"
ME6211,LDO,1,ME6211A30M3G-N,False,C236675,Extended,SOT-23,1833,True,0.0393,"-40C~+150C 1 100mV@(100mA) 30uA 3V 500mA 50uVrms 6V 70dB@(1kHz) Fixed Over Current Protection Positive SOT-23 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS"
ME6211,LDO,1,ME6211C28M5G-N,False,C53099,Extended,SOT-23-5,1453,True,0.0428,"-40C~+85C@(Ta) 1 2.8V 220mV@(200mA) 450mA 50uVrms 55uA 6V 70dB@(1kHz) Enable Fixed Positive SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS"
ME6211,LDO,1,ME6211A18M3G-N,False,C236677,Extended,SOT-23,1289,True,0.0378,"-40C~+150C 1 1.8V 300mA 30uA 400mV@(200mA) 50uVrms 6V 70dB@(1kHz) Fixed Over Current Protection Positive SOT-23 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS"
ME6211,LDO,1,ME6211A25M3G-N,False,C2835782,Extended,SOT-23-3,982,True,0.0484,"-40C~+85C@(Ta) 1 2.5V 30uA 400mA 50uVrms 6V 70dB@(1kHz) 80mV@(100mA) Enable Fixed Positive SOT-23-3 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS"
ME6211,LDO,1,ME6211A30PG-N,False,C2925771,Extended,SOT-89,960,True,0.0509,"-40C~+150C@(Ta) 1 210mV@(200mA) 30uA 3V 500mA 50uVrms 62dB@(10kHz) 6V Fixed Over Current Protection Positive SOT-89 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS"
ME6211,LDO,1,ME6211C33R5G,False,C235316,Extended,SOT-353,900,True,0.0439,"-40C~+150C 1 120mV@(100mA) 3.3V 30uA 500mA 50uVrms 6V 70dB@(1kHz) Enable Fixed Positive SOT-353 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS"
ME6211,LDO,1,ME6211C50M5G-N,False,C236670,Extended,SOT-23-5,662,True,0.0433,"-40C~+150C@(Tj) 1 200mV@(200mA) 30uA 500mA 50uVrms 5V 6V 70dB@(1kHz) Enable Fixed Positive SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS"
ME6211,LDO,1,ME6211C18M5G-N,False,C236671,Extended,SOT-23-5,41,True,0.0378,"-40C~+150C@(Ta) 1 1.8V 200mV@(100mA) 300mA 30uA 50uVrms 6V 70dB@(1kHz) Enable Fixed Positive SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS"
ME6211,LDO,1,ME6211C28U4AG-N,False,C427594,Extended,X2-SON-4-EP(1x1),0,False,0.0459,"-40C~+150C 1 2.8V 220mV@(200mA) 30uA 450mA 50uVrms 62dB@(10kHz) 6V Fixed Over Current Protection Positive X2-SON-4-EP(1x1) Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS"
ME6211,LDO,1,ME6211C25M5G,False,C2835813,Extended,SOT-23-5,0,False,0.0445,"-40C~+85C@(Ta) 1 100mV@(100mA) 2.5V 500mA 50uA 50uVrms 6.5V 75dB@(1kHz) Enable Fixed Positive SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS"
ME6211,LDO,1,ME6211C12U4AG-N,False,C5565384,Extended,FBP-4(1x1),0,False,0.0583,FBP-4(1x1) AC-DC Controllers and Regulators ROHS
ME6211,LDO,1,ME6211-18,False,C9900015251,Extended,SOT23-5,0,False,0.002,SOT23-5 SMT ROHS
ME6211,LDO,1,ME6211C33,False,C9900172394,Extended,SOT-23-5,0,False,0.0191,SOT-23-5 SMT ROHS
ME6211,LDO,1,ME6211A25G,False,C9900048060,Extended,SOT23-3-W1.6,0,False,0.0191,SOT23-3-W1.6 New Arrivals ROHS
ME6211,LDO,1,ME6211C-3.3V,False,C9900016510,Extended,SOT-23-5,0,False,0.0191,SOT-23-5 SMT ROHS
ME6211,LDO,1,ME6211C33M5G,False,C9900139058,Extended,DFN2X2-6L,0,False,0.0191,DFN2X2-6L New Arrivals ROHS
ME6211,LDO,1,ME6211C33M5G,False,C9900151594,Extended,SOT23-5,0,False,0.0191,SOT23-5 New Arrivals ROHS
SI2301,PFET,1,SI2301CDS-T1-GE3,True,C10487,Basic,SOT-23,137210,True,0.0433,"-55C~+150C 1 P-Channel 1.6W 10nC@4.5V 142mOhm@2.5V,2.7A 1V@250uA 20V 3.1A 405pF 55pF 75pF P-Channel SOT-23 MOSFETs ROHS"
SI2301,PFET,1,SI2301,False,C2891731,Extended,SOT-23,168162,True,0.0097,-55C~+150C 1 P-Channel 1.5V@250uA 120mOhm@4.5V 2.2A 200pF@10V 20V 700mW 80pF P-Channel SOT-23 MOSFETs ROHS
SI2301,PFET,1,SI2301,False,C181086,Extended,SOT-23,93036,True,0.0162,"-55C~+150C 1 P-Channel 1.6W 10nC@4.5V 115mOhm@2.5V,1.0A 1V@250uA 20V 3A 405pF 55pF 75pF P-Channel SOT-23 MOSFETs ROHS"
SI2301,PFET,1,SI2301,False,C306861,Extended,SOT-23,69785,True,0.0271,-55C~+150C 1 P-Channel 1.25W 1.4V@250uA 10nC@4.5V 110mOhm@4.5V 20V 223pF 3A 415pF 87pF SOT-23 MOSFETs ROHS
SI2301,PFET,1,SI2301A,False,C347482,Extended,SOT-23,56561,True,0.0135,-55C~+150C 1 P-Channel 1V@250uA 2.8A 20V 400mW 405pF 5.5nC@4.5V 55pF 75pF 90mOhm@4.5V P-Channel SOT-23 MOSFETs ROHS
SI2301,PFET,1,SI2301,False,C2938372,Extended,SOT-23,56267,True,0.018,-55C~+150C 1 P-Channel 1.2W 10nC@4.5V 1V@250uA 20V 3A 405pF@10V 55pF@10V 92mOhm@4.5V P-Channel SOT-23 MOSFETs ROHS
SI2301,PFET,1,SI2301CDS-T1-GE3-ES,False,C5224168,Extended,SOT-23,27809,True,0.0101,-55C~+150C 1 P-Channel 185pF 2.2nC@4.5V 20V 25pF 2A 35pF 620mV@250uA 800mW 82mOhm@4.5V P-Channel SOT-23 MOSFETs ROHS
SI2301,PFET,1,SI2301,False,C727151,Extended,SOT-23,24871,True,0.018,"1 P-Channel 112mOhm@4.5V,2.8A 1V 2.8A 20V 350mW 405pF@10V 5.5nC@4.5V 55pF@10V 75pF P-Channel SOT-23 MOSFETs ROHS"
SI2301,PFET,1,SI2301,False,C3036708,Extended,SOT-23,16375,True,0.0259,-55C~+150C 110mOhm@4.5V 2.8A 20V 3.2nC@4.5V 325pF@10V 37pF@10V 400mV 700mW SOT-23 MOSFETs ROHS
SI2301,PFET,1,SI2301S,False,C431492,Extended,SOT-23,16075,True,0.0204,"1 P-Channel 140mOhm@3.3V,1A 177pF@10V 1W 2.3A 20V 25pF@10V 400mV 5.3nC@10V SOT-23 MOSFETs ROHS"
SI2301,PFET,1,SI2301,False,C2985938,Extended,SOT-23-3L,13639,True,0.0191,1 P-Channel 1.25W 10nC@4.5V 115mOhm@2.5V 1V@250uA 20V 3A 589pF 68pF 92pF P-Channel SOT-23-3L MOSFETs ROHS
SI2301,PFET,1,SI2301DS,False,C2841444,Extended,SOT-23-3,10247,True,0.0524,-55C~+150C 110mOhm@4.5V 12nC 1V@250uA 1W 20V 3A 405pF@10V 55pF@10V 75pF SOT-23-3 MOSFETs ROHS
SI2301,PFET,1,SI2301DS-T1-GE3-VB,False,C558243,Extended,SOT-23(TO-236),3523,True,0.0551,-55C~+150C 1 P-Channel 1.5V@250uA 10nC@4.5V 155pF 180pF 2.5W 20V 4A 60mOhm@10V 835pF P-Channel SOT-23(TO-236) MOSFETs ROHS
SI2301,PFET,1,SI2301,False,C351397,Extended,SOT-23,3277,True,0.0163,-55C~+150C 1 P-Channel 1.25W 130mOhm@4.5V 2.3A 20V 223pF 415pF 450mV@250uA 5.8nC 87pF P-Channel SOT-23 MOSFETs ROHS
